CellId	Length	Radius	Curvature	Torsion	Tortuosity	StartPointPosition_R	StartPointPosition_A	StartPointPosition_S	EndPointPosition_R	EndPointPosition_A	EndPointPosition_S
294	7.8915	1.70557	0.0806099	0.0320625	0.0191297	-73.5171	149.166	-228.541	-78.1286	142.964	-228.057
295	14.7168	1.56434	0.140552	0.082961	0.02566	-82.9822	153.15	-237.91	-92.4847	144.222	-243.898
296	6.48641	1.79958	0.0754577	0.24699	0.0153635	-82.9822	153.15	-237.91	-88.7944	155.756	-237.421
297	12.9981	1.53951	0.105212	0.0728503	0.0164217	-46.1039	128.799	-256.678	-38.7625	118.432	-255.209
298	14.5367	1.6289	0.0604327	-0.36885	0.0311571	-46.1039	128.799	-256.678	-46.4547	117.46	-265.047
299	29.9552	1.57368	0.115316	-0.407874	0.0409957	-54.5944	134.96	-266.249	-65.7777	111.926	-279.379
300	5.19566	2.00439	0.107857	-0.0689327	0.050953	-54.5944	134.96	-266.249	-54.747	135.964	-271.088
301	7.53028	1.70083	0.101939	0.0509263	0.0412417	-41.3419	135.008	-267.503	-40.8767	135.125	-274.719
302	11.7005	1.55344	0.119741	-0.348317	0.0407628	-41.3419	135.008	-267.503	-34.0159	128.156	-272.579
303	9.99003	1.41954	0.115858	-0.131556	0.0307104	88.2763	112.221	-161.784	88.7256	104.762	-155.611
304	8.5796	1.46151	0.103603	0.219006	0.0213139	88.2763	112.221	-161.784	88.115	118.984	-156.803
305	24.4756	1.50172	0.0920417	0.139615	0.0272959	89.3306	112.599	-172.193	88.214	89.5661	-178.183
306	27.3475	1.49594	0.154821	0.273725	0.0859014	89.3306	112.599	-172.193	110.476	111.662	-185.84
307	3.9267	1.01176	0.141044	0	0.0698248	57.5829	174.857	-121.505	55.5519	173.833	-118.625
308	3.73067	1.46097	0.0655853	0	0.0136514	57.5829	174.857	-121.505	60.8153	175.796	-120.017
309	10.6085	1.51928	0.120995	0.134345	0.0601732	47.8604	217.79	-148.072	41.4064	224.718	-151.307
310	6.81902	1.54024	0.123124	0.333112	0.057628	47.8604	217.79	-148.072	43.5788	219.676	-143.636
311	8.26238	1.2878	0.210805	-0.604508	0.0729529	62.2781	228.966	-149.396	61.8623	233.406	-143.118
312	7.62174	1.50558	0.135417	-0.314573	0.0438823	62.2781	228.966	-149.396	62.5871	235.514	-152.613
313	12.1997	1.50633	0.100028	-0.36999	0.0306873	64.107	225.251	-174.422	71.0825	234.813	-174.507
314	28.1608	1.4967	0.103381	0.129936	0.0378175	64.107	225.251	-174.422	58.4112	250.447	-182.729
315	3.90221	1.54581	0.124682	-1.72026	0.029199	55.4845	201.207	-178.128	54.2061	204.258	-176.274
316	4.58826	1.4822	0.256556	-0.973149	0.0886208	55.4845	201.207	-178.128	53.9413	200.453	-181.977
317	14.4721	1.53123	0.140251	0.0968982	0.0579907	78.888	151.884	-238.289	91.8216	156.05	-239.864
318	5.71176	1.39869	0.164794	0.162392	0.0905839	78.888	151.884	-238.289	82.126	148.809	-235.553
319	40.2184	1.55276	0.10212	-0.681674	0.0612713	93.7421	148.355	-247.01	124.108	149.137	-269.669
320	10.5379	1.52936	0.129079	0.537703	0.0640192	93.7421	148.355	-247.01	102.084	143.409	-245.002
321	5.43193	1.72683	0.0837294	0.208092	0.00745675	61.8621	166.28	-248.944	60.3961	171.436	-248.364
322	17.5639	1.4959	0.169806	-0.425847	0.0737997	61.8621	166.28	-248.944	50.6764	170.404	-260.143
323	35.2938	1.63111	0.0638753	-0.194291	0.00603165	76.1705	158.71	-249.947	109.465	169.553	-252.101
324	13.8106	1.49073	0.159663	0.313925	0.0934145	76.1705	158.71	-249.947	81.4328	154.362	-260.575
325	28.2939	1.61142	0.0959319	-0.290586	0.0170377	71.9893	132.895	-241.549	95.55	118.315	-239.047
326	32.8747	1.59742	0.0681924	-0.201301	0.0254469	71.9893	132.895	-241.549	80.6063	103.805	-251.905
327	19.6226	1.49062	0.114333	0.210021	0.0384429	93.1735	129.836	-259.699	107.588	128.69	-271.863
328	16.3623	1.53973	0.0969556	-0.248918	0.0444331	93.1735	129.836	-259.699	103.156	119.226	-265.462
329	18.1803	1.76498	0.148242	-0.191647	0.0754832	56.3543	140.172	-255.417	49.9585	136.598	-270.651
