CellId	Radius	Length	Curvature	Torsion	Tortuosity	StartPointPosition_R	StartPointPosition_A	StartPointPosition_S	EndPointPosition_R	EndPointPosition_A	EndPointPosition_S
467	1.607	35.3649	0.0795677	-0.0657858	0.0359647	74.5724	129.604	-275.515	99.0282	119.149	-296.914
468	1.6781	4.64429	0.136733	0	0.0275645	60.8956	100.128	-210.707	60.7846	96.0337	-208.797
469	1.43757	6.34171	0.140515	0.0731997	0.0300327	60.7846	96.0337	-208.797	58.9123	92.2234	-204.338
470	1.70128	5.38567	0.131166	0.582731	0.0145231	61.8369	166.219	-248.921	60.4893	171.322	-248.355
471	1.52836	25.7603	0.0958694	-0.0492288	0.0295781	60.4893	171.322	-248.355	61.1735	195.455	-241.785
472	1.55379	24.2981	0.136428	0.0267392	0.106167	60.4893	171.322	-248.355	59.1802	193.212	-247.086
473	1.72983	15.7152	0.0771269	-0.302236	0.0216488	50.6375	132.142	-276.745	54.1947	126.693	-290.683
474	1.50873	24.1666	0.0909099	-0.142494	0.0230561	54.1947	126.693	-290.683	49.7397	122.608	-313.518
475	1.56878	46.9385	0.085467	0.494849	0.029176	54.1947	126.693	-290.683	63.9277	107.68	-330.98
476	1.5895	20.4747	0.0791966	0.0380616	0.0168609	71.992	116.809	-275.473	74.3163	105.286	-291.821
477	1.39027	5.48615	0.208018	-0.692157	0.0495286	74.3163	105.286	-291.821	72.6275	100.703	-293.682
478	1.45722	9.50481	0.120371	0.514056	0.0229626	74.3163	105.286	-291.821	78.1293	102.957	-299.967
479	1.62144	8.52362	0.156732	-0.0736063	0.0495151	74.5724	129.604	-275.515	75.611	129.869	-283.565
480	1.52017	17.5765	0.125935	-0.388162	0.0254284	75.611	129.869	-283.565	78.4313	123.462	-299.211
481	1.43218	4.55459	0.127598	0.068801	0.0174133	75.611	129.869	-283.565	77.7771	133.365	-285.332
482	1.56321	11.6272	0.154792	0.145675	0.0687836	60.7846	96.0337	-208.797	61.6906	85.4374	-206.505
483	1.45327	14.2661	0.160311	-0.365951	0.0375616	61.6906	85.4374	-206.505	61.4325	79.461	-194.125
484	1.48378	10.3419	0.135757	-0.132022	0.047041	61.6906	85.4374	-206.505	61.7612	76.0715	-203.369
485	1.53019	11.2607	0.168339	0.260146	0.150245	-67.5762	191.485	-221.239	-63.5162	193.22	-229.977
