source_filename,sha256,manufacturer,page_count,pages_with_candidates,candidate_count,ordering_heading_pages,matrix_pages,high_risk,review_method,accepted_new_products,existing_exact,existing_alias_or_format_variant,previously_accounted_csv,duplicate_source_occurrence,needs_owner_review,relevant_but_insufficient_identity,relevant_family_level_only,source_evidence_conflicted,irrelevant_to_current_scope,not_a_product_identifier
Shiley™ Flexible Adult Tracheostomy Tube _ Medtronic.pdf,b9939c9871e12f018d155ac4a7e60e9484c9d384db9a6ed01ebac62966f00cd2,Medtronic,10,7,48,4,1,true,corpus_text_extraction+rendered_manual_inspection,13,4,1,17,0,1,0,0,1,0,11
Shiley™ XLT Extended Length Tracheostomy Tube _ Medtronic.pdf,e40f9e4fdd09b10d907789a26572d64278dac50adfa73795e301a511417cb633,Medtronic,8,4,21,2,0,false,corpus_text_extraction+rendered_manual_inspection,8,8,0,4,0,0,0,0,0,0,1
SmartScope-Sheet-2025.pdf,5107e92d884773f8a7781d0d9edb6beb319212a7da0a19328bb5bf4297d29964,ForTec Medical,1,0,0,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,0
Steris catalog.pdf,45a45c1e77d3a71c1d6973e08c34d2996a0347160e6cb85cce5acb576dd4311e,STERIS,12,8,51,1,2,true,corpus_text_extraction,0,0,0,25,0,3,0,0,0,23,0
TB-Stent-size-chart.pdf,398b865537a885c15844a4833967ab49c56bbec93b8765098d7116bb5c8982b9,M.I. Tech / Thoracent,2,2,1,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,1
THORAX.pdf,a6d8f1c82ce8e88ee35496b43ff58a3cbf388f34399272780f7b999da7c26798,KARL STORZ; Karl Storz,314,96,209,23,13,true,corpus_text_extraction,0,36,0,30,0,56,87,0,0,0,0
Teleflex Incorporated - Pilling Surgical Instruments Catalog.pdf,be236964e3355724aa27bbd948e5076587cf52a06af492415457d64f1f5899a4,Teleflex / Pilling,5,5,21,0,2,true,corpus_text_extraction,0,5,0,0,0,0,0,0,0,0,16
Thal-Quick Chest Tube Set and Tray _ Cook Medical.pdf,85967b29299198089c79975e2979334e30c1975fd90f9b42bac82b235e19627a,Cook Medical,35,22,43,35,0,true,corpus_text_extraction+rendered_manual_inspection,4,16,15,1,4,0,0,0,0,0,3
Thoracentesis & Paracentesis Set - a Convienent All-in-One Centisis Set.pdf,554446f89cc5a7d116fc12b4fcc49974d12b02a255377c3671cee35080d64909,Merit Medical Systems,29,19,39,1,19,true,corpus_text_extraction,0,29,0,1,0,2,4,0,0,0,3
Video Processor INSPIRA_ Multi connectable ● PENTAX Medical.pdf,b662735a3766d636a18268fbaa22c9a478c7f0086b904cb027c82821de1ff0f6,PENTAX Medical,7,2,2,0,0,false,corpus_text_extraction,0,1,0,0,0,0,0,1,0,0,0
Vio 3.pdf,72679a90f1f589c7e1df4d688f64c6e1ca46ef7af6b4de9ad530436797b344eb,Erbe Elektromedizin,12,3,5,0,1,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,5
WLL how we do it.pdf,109fec700b1e8be059a13273518d101fda9ebfd22d1433a1e331c26b5eb9d278,Not stated / unreferenced source,9,9,28,1,2,true,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,28
WLLL technical details.pdf,5659c53e3f0d3ca6b2c149d24e940c65353ec64959487b7d53a1c7ba3e512bbc,Not stated / unreferenced source,10,6,12,2,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,12
Y-Stent-Brochure-2022.pdf,26d7283c7dd86165d1ec2437bcd63c92940e0b9ed9e5ed0b4f469b39ff8729f5,Micro-Tech Endoscopy; Micro-Tech Endoscopy / Thoracent,2,0,0,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,0
aScope-4-Broncho-Datasheets.pdf,79466a94cf2f93cc1e8284d89a455234c85a5db42ee40df214d493d1d3b3fb46,Ambu,6,4,14,3,3,true,corpus_text_extraction,0,0,0,3,0,6,0,0,0,0,5
aScope-5-Broncho-Datasheets.pdf,31423718e78f55b3ace984fd8bdeb81bb0e779fe8d10cc660f5a6665fe9b461b,Ambu,8,6,16,4,4,true,corpus_text_extraction,0,4,0,0,0,0,0,0,0,0,12
aScope_Broncho_Quick_Guide (1).pdf,361a1bc46c6f7cc9ea03379e2d1b40e354cf77e7ee39546b253fd3b70154b9bd,Ambu,2,0,0,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,0
aScope_Broncho_Quick_Guide.pdf,361a1bc46c6f7cc9ea03379e2d1b40e354cf77e7ee39546b253fd3b70154b9bd,Ambu,2,0,0,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,0
cardinal-health-cardiothoratic-catalog.pdf,ed4fdb1e0b8ff5f069d18a9eceff26e27b4a3d2954f550ef48391e2210687189,Cardinal Health,7,4,24,4,0,true,corpus_text_extraction,0,12,0,9,0,0,0,0,0,0,3
cookmedical.pdf,e056b9d40d26414d34a99ad31e34d301baab8e60706ec38fa5b2cda6e14bcf96,Cook Medical,30,5,3,7,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,3
eb-530us-esp.pdf,76d4b5d2d8584edef71c0915cdaa6e34227055e838fde09e32ed3f5874e59f03,FUJIFILM Corporation,2,0,0,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,0
en_productbrochure_ziehmvisionrfd3d_rev10_02_2026.pdf,97e9a67abbe22dda366a9f800705b6095953a23a040436dfd7977720bd258702,Ziehm Imaging,17,10,12,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,12
ent-why-power-apexcut-blades-brochure.pdf,9bbd927bf262ffb246d0a7a3c98068d5d3fd52b06212fc38d10a37521e9b7e60,Medtronic,12,10,27,0,2,true,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,27
factsheet_eb_710us.pdf,2a4ce555ddc72e3190f562c438d2cc6f10a9c6b09d73c2b8d49f2aab4d2ff25b,FUJIFILM,3,3,10,0,2,true,corpus_text_extraction,0,5,0,0,0,1,1,0,0,0,3
hood-labs-F973-Airway-catalog-6-2022.pdf,a6288d2256bdbb7635d1793fa061c7aa04d7707cc0f80fd19b245ffeb00563bf,Hood Laboratories,15,9,140,2,6,true,corpus_text_extraction,0,57,0,0,0,82,0,0,0,0,1
intuitive-ion-system-brochure-1051118.pdf,9aab379d85267e860f2983c1b503d84e26e77dce8465822fb7ecd27909d06ddd,Intuitive Surgical,11,8,30,2,2,true,corpus_text_extraction,0,5,0,0,0,1,0,0,0,0,24
