product_id,manufacturer,product_name,catalog_number,source_primary_category,source_subcategory,device_class_code,device_class_label_en,device_subtype_code,device_subtype_label_en,taxonomy_confidence,needs_review,classification_basis,role_codes,procedure_codes
PRD-985ACD0324,Richard Wolf,Clamping Attachment,8290020,Rigid bronchoscopy,Flexible bronchoscope accessory,accessory,Accessory or ancillary item,endoscope_seal_valve,"Endoscope seal, valve, or adapter",moderate,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-993274DBA5,Richard Wolf,Sealing Cap with Monitoring Window,8205.12,Rigid bronchoscopy,Rigid bronchoscope accessory,accessory,Accessory or ancillary item,rigid_scope_component,Rigid bronchoscope component,moderate,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-993A6272DD,Verathon,GlideScope Core 10,GlideScope Core 10,Endoscopy platform,Video display/processor,console_capital,Console or capital equipment,video_processor,Video processor,high,false,pair_rule,VIDEO_PROCESSOR,EBUS_TBNA|EBV|FLEX_DIAGNOSTIC|ICU_BRONCH|MED_THORACOSCOPY|PERC_TRACH|RIGID_BRONCH|TB_RULEOUT|THERAPEUTIC_BRONCH|WLL
PRD-99BC8714FF,Karl Storz,"Bronchial Atomizer, 50 cm",10452A,Rigid bronchoscopy,Rigid bronchoscopy accessory,accessory,Accessory or ancillary item,rigid_bronchoscopy_accessory,Rigid bronchoscopy accessory,high,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-99F825C44F,Karl Storz,"Universal Bronchoscope Tube, Proximal Illumination, Size 7.5",10318CP,Rigid bronchoscopy,Rigid bronchoscope barrel,bronchoscope,Bronchoscope,rigid_bronchoscope,Rigid bronchoscope,high,false,pair_rule,RIGID_BRONCHOSCOPE_BARREL,RIGID_BRONCH
PRD-9AE343BC8D,ERBE,CO2 Gas Bottle Adapter E,20410-003,Therapeutic bronchoscopy,CO2 gas bottle adapter,cryotherapy,Cryotherapy device,cryotherapy_accessory,Cryotherapy system accessory,moderate,false,pair_rule,CRYO_SYSTEM_ACCESSORY,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-9B0EE44246,Richard Wolf,Two-Pedal Footswitch,2304.901,Rigid bronchoscopy,Rigid bronchoscopic shaver accessory,powered_shaver,Powered shaver or debrider,shaver_accessory,Shaver accessory,high,false,pair_rule,RIGID_BRONCH_SHAVER,RIGID_BRONCH
PRD-9BB524F077,Scivita Medical Technology,Scivita Full HD Visualization Endoscopic Image Processor HDVS-S300D,HDVS-S300D,Bronchoscopy platform,Video processor,console_capital,Console or capital equipment,video_processor,Video processor,high,false,pair_rule,VIDEO_PROCESSOR,EBUS_TBNA|EBV|FLEX_DIAGNOSTIC|ICU_BRONCH|MED_THORACOSCOPY|PERC_TRACH|RIGID_BRONCH|TB_RULEOUT|THERAPEUTIC_BRONCH|WLL
PRD-9C1CF84490,Richard Wolf,Universal Bronchoscope Cap,8020.15,Rigid bronchoscopy,Rigid bronchoscope accessory,accessory,Accessory or ancillary item,rigid_scope_component,Rigid bronchoscope component,moderate,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-9C5FCF73E5,Richard Wolf,"Vessel Clamp, Curved Left",8242.651,Medical thoracoscopy,Thoracoscopy instrument,forceps_instrument,Forceps and hand instruments,thoracoscopy_hand_instrument,Thoracoscopy hand instrument,high,false,pair_rule,THORACOSCOPY_BIOPSY_FORCEPS,MED_THORACOSCOPY
PRD-9C6ECA3162,Novatech,"DUTAU NOVATECH Bronchial Tube, Size 9",02BRD3509,Rigid bronchoscopy,Rigid bronchoscope system,bronchoscope,Bronchoscope,rigid_bronchoscope,Rigid bronchoscope,high,false,name_rule,RIGID_BRONCHOSCOPE_BARREL,RIGID_BRONCH
PRD-9CFCC838A3,Olympus,"Single-Use Pulmonary Biopsy Forceps, Alligator Jaw-Step with Needle",FB-221D.A,Sampling,Pulmonary biopsy forceps,forceps_instrument,Forceps and hand instruments,flexible_biopsy_forceps,Flexible biopsy or grasping forceps,high,false,pair_rule,BIOPSY_FORCEPS_FLEX,FLEX_DIAGNOSTIC|ICU_BRONCH|TB_RULEOUT|THERAPEUTIC_BRONCH
PRD-9EB174FBB0,Novatech,"DUTAU NOVATECH Tracheal Tube, Size 14",02BRD2514,Rigid bronchoscopy,Rigid bronchoscope system,bronchoscope,Bronchoscope,rigid_tracheoscope,Rigid tracheoscope,high,false,name_rule,RIGID_BRONCHOSCOPE_BARREL,RIGID_BRONCH
PRD-A0214EBAC0,Richard Wolf,HEMER Tracheoscope Tube Bundle,8214.1241,Rigid bronchoscopy,Rigid bronchoscope/tracheoscope tube,bronchoscope,Bronchoscope,rigid_tracheoscope,Rigid tracheoscope,high,false,name_rule,RIGID_BRONCHOSCOPE_BARREL,RIGID_BRONCH
PRD-A1B7FC0BD4,Richard Wolf,PANOVIEW Telescope,8935.442,Medical thoracoscopy,Thoracoscopy telescope,endoscopic_telescope,Endoscopic telescope,thoracoscopy_telescope,Thoracoscopy telescope,high,false,pair_rule,THORACOSCOPE_RIGID,MED_THORACOSCOPY
PRD-A2C49C9352,ERBE,Flexible Cryoprobe 1.1 mm with 817 mm Oversheath,20402-401,Therapeutic bronchoscopy,Flexible cryoprobe,cryotherapy,Cryotherapy device,flexible_cryoprobe,Flexible cryoprobe,high,false,pair_rule,CRYOPROBE_FLEX,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-A2FCA81CFA,Karl Storz,"Foreign Body Basket, 50 cm",10386A,Rigid bronchoscopy,Rigid bronchoscopy accessory,retrieval_basket,Retrieval basket,foreign_body_retrieval_basket,Foreign-body retrieval basket,high,false,name_rule,FOREIGN_BODY_BASKET,THERAPEUTIC_BRONCH
