Category,Image_url,Image Description,article_title,article_url,license,license_url,attribution
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f334/11225379/03dff6c53443/12931_2024_2877_Fig3_HTML.jpg,"CT – BLVR occlusion methods (balloon vs valves, atelectasis patterns, accessory lobe expansion)",First real-time imaging of bronchoscopic lung volume reduction by electrical impedance tomography,https://pmc.ncbi.nlm.nih.gov/articles/PMC11225379/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/4cb8/10956201/6c69ca952167/12890_2024_2930_Fig4_HTML.jpg,"CT – Bronchus signs (truncation, passage, no bronchus)",Virtual bronchoscopic navigation with intraoperative cone-beam CT for the diagnosis of peripheral pulmonary nodules,https://pmc.ncbi.nlm.nih.gov/articles/PMC10956201/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f8ea/5825309/6f7121c091a2/13244_2017_581_Fig19_HTML.jpg,CT – Cavitary nodule (LLL squamous cell carcinoma),"Evaluation of the solitary pulmonary nodule: size matters, but do not ignore the power of morphology",https://pmc.ncbi.nlm.nih.gov/articles/PMC5825309/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f8ea/5825309/8a828123c64d/13244_2017_581_Fig18_HTML.jpg,CT – Cavitary nodule (RUL aspergilloma),"Evaluation of the solitary pulmonary nodule: size matters, but do not ignore the power of morphology",https://pmc.ncbi.nlm.nih.gov/articles/PMC5825309/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/a0e4/12025764/6dfa197ebc8f/diagnostics-15-00954-g003.jpg,CT – Central tumor progression (vascular and bronchial compression),The LJ Systemâ€”Development and Validation of a Reliable and Simple Device for Bronchoscopic Measurement of Distances Within the Tracheobronchial Tree,https://pmc.ncbi.nlm.nih.gov/articles/PMC12025764/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f8ea/5825309/ad572753ec2a/13244_2017_581_Fig28_HTML.jpg,"CT – Complex nodule with bronchial interruption sign (LLL invasive adenocarcinoma, MIP vessel convergence)","Evaluation of the solitary pulmonary nodule: size matters, but do not ignore the power of morphology",https://pmc.ncbi.nlm.nih.gov/articles/PMC5825309/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f8ea/5825309/e26082218bae/13244_2017_581_Fig25_HTML.jpg,"CT – Complex nodule with bubble-like lucencies (RUL adenocarcinoma, mixed growth patterns)","Evaluation of the solitary pulmonary nodule: size matters, but do not ignore the power of morphology",https://pmc.ncbi.nlm.nih.gov/articles/PMC5825309/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f8ea/5825309/2481c6cb0f7c/13244_2017_581_Fig27_HTML.jpg,CT – Cystic airspace with mural nodule (LUL adenocarcinoma),"Evaluation of the solitary pulmonary nodule: size matters, but do not ignore the power of morphology",https://pmc.ncbi.nlm.nih.gov/articles/PMC5825309/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/d8db/8137064/41c02387fd47/medi-100-e25973-g001.jpg,"CT – Cystic lesion (right superior mediastinum, posterior SVC)","Pneumonia, pleurisy, mediastinitis, and mediastinal cyst infection secondary to endobronchial ultrasound-guided transbronchial needle aspiration",https://pmc.ncbi.nlm.nih.gov/articles/PMC8137064/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/4b7a/5209441/017567aa52d0/330_2016_4429_Fig2_HTML.jpg,"CT – Ground glass nodule evolution (stable, progressive, part-solid transformation)",Subsolid pulmonary nodule morphology and associated patient characteristics in a routine clinical population,https://pmc.ncbi.nlm.nih.gov/articles/PMC5209441/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/726a/5183797/353ce9fc3489/CRJ2016-1652178.004.jpg,CT – IASLC 2R/4R mapping,Role of the Endobronchial Landmarks Guiding TBNA and EBUS-TBNA in Lung Cancer Staging,https://pmc.ncbi.nlm.nih.gov/articles/PMC5183797/
