product_id,manufacturer,product_name,catalog_number,prior_visibility_state,verification_grade,market_status,market_confidence,safety_display,safety_action_scope,safety_reference_codes,status_recommendation_gate,role_count,authored_option_count
"PRD-1E339ED4FF","Karl Storz","Universal Forceps","10371UL","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-1E5D7D510F","Karl Storz","Cotton Applicator 35 cm","10384B","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-1E613C92C3","Karl Storz","Forceps for Peanuts/Soft Foreign Bodies","10371K","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-1E9BA85FC4","Olympus","TC-C3 Series Workstation Set","K10030136","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","0"
"PRD-1EEDD71C53","Karl Storz","Instrument Guide for Suction Catheter","10318S","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-1F54DB1DE4","Richard Wolf","Flexible 1-Channel Sensor Bronchoscope ""Slim""","7235011","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-1F69D6AD05","Karl Storz","Trocar Only, No Valve","40120A","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-1FE403B84C","Richard Wolf","PANOVIEW Telescope","8934.433","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-2058BA100A","Richard Wolf","PANOVIEW PLUS Telescope","8933.431","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-207F57235E","ERBE","Pressure Reducer with Sensor for APC 2/APC 3, DIN 477 No. 10","20134-001","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","2"
"PRD-2103064DB9","Olympus","TC-C3 Series Workstation Set","K10030126","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","0"
